degree=53, radian=0.925025, cos=0.601814:0.601815, sin=0.798636:0.798636, cos_error=0.000108%, sin_error=0.000061%
degree=54, radian=0.942478, cos=0.587784:0.587785, sin=0.809018:0.809017, cos_error=0.000150%, sin_error=0.000079%
degree=55, radian=0.959931, cos=0.573577:0.573576, sin=0.819152:0.819152, cos_error=0.000040%, sin_error=0.000020%
degree=56, radian=0.977384, cos=0.559193:0.559193, sin=0.829038:0.829038, cos_error=0.000038%, sin_error=0.000017%
degree=57, radian=0.994838, cos=0.544640:0.544639, sin=0.838670:0.838671, cos_error=0.000173%, sin_error=0.000073%
degree=58, radian=1.012291, cos=0.529920:0.529919, sin=0.848048:0.848048, cos_error=0.000060%, sin_error=0.000024%
degree=59, radian=1.029744, cos=0.515040:0.515038, sin=0.857166:0.857167, cos_error=0.000292%, sin_error=0.000105%
degree=60, radian=1.047198, cos=0.500001:0.500000, sin=0.866025:0.866025, cos_error=0.000211%, sin_error=0.000070%
degree=61, radian=1.064651, cos=0.484809:0.484810, sin=0.874620:0.874620, cos_error=0.000221%, sin_error=0.000068%
degree=62, radian=1.082104, cos=0.469470:0.469472, sin=0.882948:0.882948, cos_error=0.000282%, sin_error=0.000080%
degree=63, radian=1.099557, cos=0.453992:0.453990, sin=0.891006:0.891007, cos_error=0.000349%, sin_error=0.000090%
degree=64, radian=1.117011, cos=0.438371:0.438371, sin=0.898794:0.898794, cos_error=0.000135%, sin_error=0.000032%
degree=65, radian=1.134464, cos=0.422617:0.422618, sin=0.906308:0.906308, cos_error=0.000337%, sin_error=0.000073%
degree=66, radian=1.151917, cos=0.406736:0.406737, sin=0.913546:0.913545, cos_error=0.000037%, sin_error=0.000007%
degree=67, radian=1.169371, cos=0.390730:0.390731, sin=0.920505:0.920505, cos_error=0.000166%, sin_error=0.000030%
degree=68, radian=1.186824, cos=0.374607:0.374607, sin=0.927184:0.927184, cos_error=0.000166%, sin_error=0.000027%
degree=69, radian=1.204277, cos=0.358368:0.358368, sin=0.933580:0.933580, cos_error=0.000033%, sin_error=0.000005%
degree=70, radian=1.221730, cos=0.342022:0.342020, sin=0.939692:0.939693, cos_error=0.000413%, sin_error=0.000055%
degree=71, radian=1.239184, cos=0.325569:0.325568, sin=0.945518:0.945519, cos_error=0.000358%, sin_error=0.000043%
degree=72, radian=1.256637, cos=0.309019:0.309017, sin=0.951056:0.951057, cos_error=0.000495%, sin_error=0.000052%
degree=73, radian=1.274090, cos=0.292371:0.292372, sin=0.956305:0.956305, cos_error=0.000274%, sin_error=0.000026%
degree=74, radian=1.291544, cos=0.275636:0.275637, sin=0.961262:0.961262, cos_error=0.000478%, sin_error=0.000039%
degree=75, radian=1.308997, cos=0.258817:0.258819, sin=0.965926:0.965926, cos_error=0.000615%, sin_error=0.000044%
degree=76, radian=1.326450, cos=0.241922:0.241922, sin=0.970296:0.970296, cos_error=0.000111%, sin_error=0.000007%
degree=77, radian=1.343904, cos=0.224950:0.224951, sin=0.974370:0.974370, cos_error=0.000350%, sin_error=0.000019%
degree=78, radian=1.361357, cos=0.207912:0.207912, sin=0.978147:0.978148, cos_error=0.000265%, sin_error=0.000012%
degree=79, radian=1.378810, cos=0.190809:0.190809, sin=0.981627:0.981627, cos_error=0.000158%, sin_error=0.000006%
degree=80, radian=1.396263, cos=0.173649:0.173648, sin=0.984808:0.984808, cos_error=0.000604%, sin_error=0.000019%
degree=81, radian=1.413717, cos=0.156435:0.156434, sin=0.987688:0.987688, cos_error=0.000334%, sin_error=0.000009%
degree=82, radian=1.431170, cos=0.139175:0.139173, sin=0.990268:0.990268, cos_error=0.001353%, sin_error=0.000027%
degree=83, radian=1.448623, cos=0.121871:0.121869, sin=0.992546:0.992546, cos_error=0.001323%, sin_error=0.000020%
degree=84, radian=1.466077, cos=0.104530:0.104528, sin=0.994522:0.994522, cos_error=0.001034%, sin_error=0.000011%
degree=85, radian=1.483530, cos=0.087154:0.087156, sin=0.996195:0.996195, cos_error=0.001547%, sin_error=0.000012%
degree=86, radian=1.500983, cos=0.069758:0.069756, sin=0.997564:0.997564, cos_error=0.002419%, sin_error=0.000012%
degree=87, radian=1.518436, cos=0.052335:0.052336, sin=0.998630:0.998630, cos_error=0.001377%, sin_error=0.000004%
degree=88, radian=1.535890, cos=0.034898:0.034899, sin=0.999391:0.999391, cos_error=0.003600%, sin_error=0.000005%
degree=89, radian=1.553343, cos=0.017453:0.017452, sin=0.999848:0.999848, cos_error=0.000701%, sin_error=0.000000%
